Test Result UID,Sample Name,Sample Type,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,URL,Aromas,Flavors,Effects
,Guava Kush (G/H #B2),"Flower, Inhalable",,,,,,0.0,0.019,0.011,0.0,0.0,0.0,0.0,0.032,0.0,0.004,0.038,0.165,1.179,0.0,0.449,0.941,,0.494,0.281,0.0,0.0,,0.61,0.0,23.23,0.02,0.0,0.1,0.0,0.0,0.02,0.39,0.09,0.08,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/guava-kush,"['Citrus', 'Earthy', 'Orange', 'Sweet']","['Citrus', 'Fruity', 'Herbal', 'Lime', 'Sweet', 'Tropical', 'Woody']","['Creative', 'Euphoria', 'Happy', 'Hungry', 'Relaxing', 'Sleepy', 'Sociable']"
,Sour Cookies,"Concentrate, Inhalable",,,,,,0.0,0.012,0.095,0.0,0.0,0.0,0.0,0.573,0.0,0.0,0.218,0.4370000000000001,0.068,0.0,1.283,0.224,,0.13699999999999998,0.7959999999999999,0.0,0.0,,2.24,0.0,68.92,0.06,0.0,0.2,0.0,0.0,0.0,2.49,0.39,0.0,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/sour-cookies,"['Fuel', 'Hash', 'Pungent', 'Sweet']","['Cheesy', 'Diesel', 'Nutty', 'Pine', 'Sweet']","['Cerebral', 'Creative', 'Energizing', 'Happy', 'Sociable', 'Uplifting']"
,OG Kush,"Concentrate, Inhalable",,,,,,0.0,0.013,0.092,0.0,0.0,0.019,0.0,0.12,0.0,0.008,0.547,0.85,0.086,0.0,2.7060000000000004,0.18600000000000005,,0.16399999999999998,0.7440000000000001,0.0,0.0,,1.94,0.0,67.34,0.12,0.0,0.16,0.0,0.0,0.0,1.93,0.2,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/og-kush,"['Earthy', 'Herbal', 'Pungent', 'Spicy', 'Sweet']","['Lemon', 'Pine', 'Woody']","['Body High', 'Energizing', 'Euphoria', 'Happy', 'Hungry']"
,Lemon Skunk (12305),"Flower, Inhalable",,,,,,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.036000000000000004,0.0,0.0,0.017,0.043,0.015,0.0,0.162,0.139,,0.03,0.181,0.0,0.0,,0.61,0.0,20.01,0.01,0.0,0.05,0.0,0.0,0.0,0.43,0.11,0.04,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/lemon-skunk,"['Earthy', 'Lemon', 'Pungent', 'Skunky', 'Sour']","['Citrus', 'Lemon', 'Skunky', 'Sweet', 'Tangy']","['Energizing', 'Euphoria', 'Giggly', 'Happy', 'Sociable', 'Uplifting']"
,Orange Creamsicle (7205),"Flower, Inhalable",,,,,,0.006,0.0,0.0,0.0,0.003,0.05,0.0,0.008,0.112,0.266,0.004,0.009000000000000001,0.018000000000000002,0.0,0.036000000000000004,0.103,,0.028,0.07400000000000001,0.0,0.0,,0.42,0.0,13.51,0.03,0.0,0.07,0.0,0.0,0.0,1.12,0.05,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/orange-creamsicle,"['Citrus', 'Earthy', 'Orange', 'Spicy', 'Sweet']","['Citrus', 'Creamy', 'Orange', 'Sweet', 'Vanilla']","['Creative', 'Euphoria', 'Happy', 'Relaxing']"
,Sapphire Scout (10801),"Flower, Inhalable",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.142,0.015,0.0,0.38,0.233,,0.029,0.224,0.0,0.0,,0.88,0.0,21.5,0.01,0.0,0.07,0.0,0.0,0.0,0.94,0.12,0.07,https://www.allbud.com/marijuana-strains/hybrid/sapphire-scout,"['Berry', 'Earthy', 'Fruity', 'Kush', 'Pungent', 'Skunky']","['Berry', 'Herbal', 'Spicy', 'Sweet']","['Body High', 'Cerebral', 'Relaxing', 'Sleepy']"
,Purple Panty Dropper (0714),"Flower, Inhalable",,,,,,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.015,0.0,0.0,0.027000000000000003,0.048,0.109,0.0,0.168,0.478,,0.049,0.08,0.0,0.0,,0.43,0.01,11.65,0.01,0.0,0.05,0.0,0.0,0.0,0.29,0.03,0.05,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/purple-panty-dropper,"['Berry', 'Earthy', 'Fruity', 'Grape']","['Apple', 'Fruity', 'Grape', 'Sweet']","['Aroused', 'Euphoria', 'Happy', 'Hungry', 'Relaxing']"
,Blue Dream (18401),"Flower, Inhalable",,,,,,0.0,0.001,0.0,0.005,0.0,0.0,0.0,0.022,0.0,0.0,0.02,0.048,0.5329999999999999,0.0,0.147,0.8009999999999999,,0.218,0.077,0.0,0.0,,0.86,0.0,21.75,0.01,0.0,0.09,0.0,0.0,0.0,0.61,0.04,0.0,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/blue-dream,"['Earthy', 'Fruity', 'Sweet', 'Vanilla']","['Berry', 'Blueberry', 'Fruity', 'Herbal', 'Sweet', 'Vanilla']","['Creative', 'Energizing', 'Euphoria', 'Happy']"
,Ogre (9801),"Flower, Inhalable",,,,,,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.034,0.048,0.0,0.032,0.098,0.005,0.0,0.3670000000000001,0.8759999999999999,,0.017,0.123,0.0,0.0,,0.52,0.0,22.71,0.03,0.0,0.08,0.0,0.0,0.0,0.7,0.07,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/ogre,"['Citrus', 'Earthy', 'Lemon', 'Pungent', 'Sweet']","['Citrus', 'Diesel', 'Lemon', 'Peppery', 'Skunky', 'Sweet']","['Euphoria', 'Happy', 'Relaxing', 'Sleepy']"
,GSC (13604),"Flower, Inhalable",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037000000000000005,0.0,0.0,0.029,0.141,0.01,0.0,0.385,0.161,,0.02,0.173,0.0,0.0,,0.8,0.0,20.03,0.01,0.0,0.1,0.0,0.0,0.0,1.84,0.07,0.06,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/gsc,"['Earthy', 'Nutty', 'Pungent', 'Spicy', 'Sweet', 'Vanilla']","['Cherry', 'Lemon', 'Nutty']","['Cerebral', 'Hungry']"
,Platinum OG,"Flower, Inhalable",,,,,,0.0,0.02,0.01,0.0,0.001,0.125,0.0,0.121,0.077,0.01,0.05,0.129,0.168,0.0,0.447,0.091,,0.157,0.885,0.0,0.0,,0.95,0.02,16.76,0.04,0.0,0.05,0.0,0.0,0.0,0.24,0.14,0.06,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/platinum-og,"['Earthy', 'Herbal', 'Pine', 'Pungent', 'Spicy']","['Coffee', 'Herbal', 'Pine', 'Spicy', 'Sweet', 'Woody']","['Body High', 'Euphoria', 'Happy', 'Hungry', 'Relaxing', 'Sleepy']"
,Gelato,"Flower, Inhalable",,,,,,0.0,0.014,0.012,0.0,0.001,0.101,0.0,0.125,0.07200000000000001,0.006999999999999999,0.047,0.127,0.091,0.0,0.444,0.064,,0.104,0.628,0.0,0.0,,1.22,0.03,15.06,0.04,0.0,0.05,0.0,0.0,0.0,0.25,0.14,0.05,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/gelato,"['Blueberry', 'Earthy', 'Orange', 'Sweet']","['Berry', 'Citrus', 'Lavender', 'Sweet', 'Woody']","['Creative', 'Euphoria', 'Focus', 'Happy', 'Relaxing']"
,bubba Kush,"Flower, Inhalable",,,,,,0.0,0.012,0.013,0.0,0.002,0.127,0.0,0.012,0.001,0.011,0.118,0.145,0.05,0.0,0.446,0.182,,0.083,0.5670000000000001,0.002,0.0,,0.46,0.0,17.75,0.03,0.0,0.06,0.0,0.0,0.0,0.37,0.09,0.0,https://www.allbud.com/marijuana-strains/indica/bubba-kush,"['Earthy', 'Kush', 'Pungent', 'Spicy', 'Sweet']","['Coffee', 'Herbal', 'Sweet', 'Woody']","['Body High', 'Cerebral', 'Energizing', 'Euphoria', 'Happy', 'Hungry', 'Relaxing']"
,Orange Crush,"Flower, Inhalable",,,,,,0.0,0.006999999999999999,0.029,0.0,0.002,0.001,0.0,0.052000000000000005,0.043,0.006,0.099,0.13699999999999998,0.228,0.0,0.426,1.175,,0.121,0.272,0.0,0.0,,0.63,0.0,15.12,0.02,0.0,0.04,0.0,0.0,0.0,0.09,0.07,0.0,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/orange-crush,"['Earthy', 'Orange', 'Sour', 'Sweet']","['Citrus', 'Orange', 'Spicy', 'Sweet', 'Tangy']","['Creative', 'Energizing', 'Euphoria', 'Focus', 'Happy']"
,Berry White,"Concentrate, Inhalable",,,,,,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.204,0.037000000000000005,0.0,0.58,0.488,,0.054000000000000006,0.438,0.0,0.0,,73.62,0.56,0.2,0.51,3.28,0.07,0.47,0.0,0.0,0.0,2.32,0.08,https://www.allbud.com/marijuana-strains/indica/berry-white,"['Blueberry', 'Earthy', 'Sour', 'Sweet']","['Berry', 'Blueberry', 'Pine', 'Spicy', 'Sweet']","['Cerebral', 'Creative', 'Euphoria', 'Happy']"
,Sour Diesel,"Concentrate, Inhalable",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.021,0.0,0.0,0.141,0.07200000000000001,0.0,0.403,0.39,,0.062,0.294,0.0,0.0,,76.4,0.57,0.22,0.53,3.46,0.07,0.3,0.0,0.0,0.0,2.47,0.09,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/sour-diesel,"['Dank', 'Diesel', 'Sweet']","['Candy', 'Citrus', 'Dank', 'Diesel', 'Skunky', 'Sweet']","['Creative', 'Energizing', 'Euphoria', 'Happy', 'Uplifting']"
,Allen Wrench,"Concentrate, Inhalable",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0,0.067,0.101,0.0,0.194,1.293,,0.069,0.135,0.0,0.0,,75.45,0.57,0.2,0.53,3.31,0.06,0.3,0.0,0.0,0.0,2.34,0.1,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/allen-wrench,"['Earthy', 'Floral', 'Fruity', 'Sour', 'Sweet']","['Citrus', 'Orange', 'Pine', 'Sweet', 'Woody']","['Creative', 'Energizing', 'Euphoria', 'Happy']"
,Mob Boss,"Concentrate, Inhalable",,,,,,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.084,0.119,0.0,0.0,0.13,0.337,0.0,0.377,0.581,,0.194,0.569,0.0,0.0,,79.98,0.6,0.2,0.56,3.62,0.07,0.31,0.0,0.0,0.0,2.54,0.11,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/mob-boss,"['Citrus', 'Floral', 'Lemon', 'Spicy', 'Sweet']","['Citrus', 'Lemon', 'Spicy', 'Sweet', 'Woody']","['Cerebral', 'Euphoria', 'Happy', 'Relaxing']"
